artist,album,name,explicit,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,duration_s
J. Cole,4 Your Eyez Only,Foldin Clothes,1,7,0,4,0.23399999999999999,0.698,0.48700000000000004,0.00086,0.0724,-9.887,0.312,161.94299999999998,0.614,58,hiphop,316.92
J. Cole,4 Your Eyez Only,She's Mine Pt. 2,1,2,1,4,0.7979999999999999,0.486,0.19399999999999998,0.00624,0.114,-15.265,0.0712,70.031,0.048,58,hiphop,278.92
J. Cole,4 Your Eyez Only,4 Your Eyez Only,1,11,0,4,0.36700000000000005,0.701,0.485,6.31e-05,0.0852,-10.305,0.364,78.863,0.496,64,hiphop,530.253
J. Cole,2014 Forest Hills Drive,Intro,1,7,0,4,0.8440000000000001,0.456,0.268,0.0693,0.107,-15.164000000000001,0.0417,78.531,0.12,56,hiphop,129.266
J. Cole,2014 Forest Hills Drive,January 28th,1,5,1,4,0.259,0.483,0.546,0.0,0.0951,-8.59,0.349,81.96700000000001,0.37200000000000005,62,hiphop,242.813
J. Cole,2014 Forest Hills Drive,Wet Dreamz,1,6,0,4,0.0752,0.504,0.705,0.0,0.128,-8.205,0.364,175.483,0.584,77,hiphop,239.32
J. Cole,2014 Forest Hills Drive,03' Adolescence,1,1,1,4,0.389,0.518,0.809,0.0,0.275,-6.362,0.5660000000000001,146.216,0.261,62,hiphop,264.21299999999997
J. Cole,2014 Forest Hills Drive,A Tale of 2 Citiez,1,6,1,4,0.5529999999999999,0.5589999999999999,0.556,0.0,0.251,-7.843999999999999,0.531,189.861,0.36200000000000004,68,hiphop,269.786
J. Cole,2014 Forest Hills Drive,Fire Squad,1,11,1,4,0.27899999999999997,0.516,0.738,0.0,0.621,-7.21,0.415,175.43200000000002,0.595,65,hiphop,288.2
J. Cole,2014 Forest Hills Drive,St. Tropez,1,9,0,4,0.054000000000000006,0.561,0.541,0.0371,0.0627,-9.818,0.0711,84.241,0.324,59,hiphop,257.92
J. Cole,2014 Forest Hills Drive,G.O.M.D.,1,4,0,4,0.331,0.889,0.39299999999999996,8.67e-06,0.28300000000000003,-10.821,0.267,128.065,0.304,73,hiphop,301.133
J. Cole,2014 Forest Hills Drive,No Role Modelz,1,10,0,4,0.302,0.696,0.521,0.0,0.0565,-8.465,0.332,100.0,0.45799999999999996,81,hiphop,292.986
